Name,Height_cm,Height_ft,Weight_kg,Weight_lbs,Age_yrs,Position,Cleaned_Position,Team_Name,Team_URL
Sam Colangelo,188,6.167979002624672,94.80072799999999,209,22,Right Wing,rightwinger,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Oscar Dansk,191,6.266404199475065,88.45044,195,30,Goaltender,goaltender,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Lukáš Dostál,185,6.069553805774278,76.203456,168,24,Goaltender,goaltender,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Brian Dumoulin,193,6.332020997375328,93.893544,207,33,Defense,defence,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Robby Fabbri,178,5.83989501312336,86.18248,190,28,Centre / Left wing,centre/leftwinger,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Cam Fowler,185,6.069553805774278,93.893544,207,32,Defence,defence,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Nathan Gaucher,191,6.266404199475065,93.893544,207,20,Centre,centre,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Cutter Gauthier,188,6.167979002624672,85.728888,189,20,Forward,forward,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
John Gibson,191,6.266404199475065,102.511792,226,31,Goaltender,goaltender,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Radko Gudas,183,6.003937007874016,92.532768,204,34,Defence,defence,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Jansen Harkins,185,6.069553805774278,82.553744,182,27,Centre,centre,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Drew Helleson,191,6.266404199475065,92.98636,205,23,Defense,defence,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Ross Johnston,196,6.430446194225722,105.233344,232,30,Left wing,leftwinger,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Boris Katchouk,188,6.167979002624672,92.98636,205,26,Left wing,leftwinger,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Alex Killorn,188,6.167979002624672,87.996848,194,34,Centre / Left wing,centre/leftwinger,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Jackson LaCombe,188,6.167979002624672,90.7184,200,23,Defense,defence,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Brett Leason,196,6.430446194225722,98.883056,218,25,Right wing,rightwinger,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Gustav Lindström,188,6.167979002624672,84.821704,187,25,Defence,defence,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Isac Lundeström,183,6.003937007874016,83.91452,185,24,Forward,forward,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Tristan Luneau,185,6.069553805774278,87.543256,193,20,Defence,defence,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Brock McGinn,183,6.003937007874016,84.821704,187,30,Left wing,leftwinger,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Mason McTavish,183,6.003937007874016,96.615096,213,21,Centre,centre,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Carson Meyer,180,5.905511811023622,83.460928,184,27,Right wing,rightwinger,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Pavel Mintyukov,185,6.069553805774278,87.089664,192,20,Defense,defence,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Jan Myšák,178,5.83989501312336,79.3786,175,22,Centre,centre,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Nikita Nesterenko,188,6.167979002624672,83.007336,183,23,Center,centre,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Mark Pysyk,185,6.069553805774278,91.171992,201,32,Defence / right wing,defence/rightwinger,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Pavol Regenda,193,6.332020997375328,96.161504,212,24,Winger,winger,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Beckett Sennecke,188,6.167979002624672,82.100152,181,18,Right wing,rightwinger,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Ryan Strome,185,6.069553805774278,90.7184,200,31,Centre,centre,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Troy Terry,185,6.069553805774278,79.3786,175,27,Right wing,rightwinger,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Urho Vaakanainen,185,6.069553805774278,83.91452,185,25,Defence,defence,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Frank Vatrano,180,5.905511811023622,91.171992,201,30,Right wing,rightwinger,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Trevor Zegras,183,6.003937007874016,83.91452,185,23,Center,centre,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Olen Zellweger,175,5.741469816272966,78.925008,174,21,Defence,defence,Anaheim_Ducks,https://en.wikipedia.org/wiki/Template:Anaheim_Ducks_roster
Rasmus Andersson,185,6.069553805774278,97.068688,214,27,Defence,defence,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Mikael Backlund,183,6.003937007874016,91.171992,201,35,Centre,centre,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Kevin Bahl,198,6.496062992125984,103.872568,229,24,Defence,defence,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Jake Bean,185,6.069553805774278,78.471416,173,26,Defence,defence,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Blake Coleman,180,5.905511811023622,90.7184,200,32,Forward,forward,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Devin Cooley,196,6.430446194225722,87.089664,192,27,Goaltender,goaltender,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Walker Duehr,188,6.167979002624672,94.80072799999999,209,26,Right wing,rightwinger,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Joel Hanley,180,5.905511811023622,86.18248,190,33,Defence,defence,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Jonathan Huberdeau,185,6.069553805774278,90.7184,200,31,Forward,forward,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Dryden Hunt,183,6.003937007874016,89.357624,197,28,Left wing,leftwinger,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Nazem Kadri,183,6.003937007874016,88.45044,195,33,Centre,centre,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Andrei Kuzmenko,180,5.905511811023622,92.079176,203,28,Winger,winger,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Ryan Lomberg,175,5.741469816272966,90.264808,199,29,Left wing,leftwinger,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Anthony Mantha,196,6.430446194225722,106.140528,234,29,Right wing,rightwinger,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Daniil Miromanov,193,6.332020997375328,89.811216,198,27,Defence,defence,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Brayden Pachal,183,6.003937007874016,91.171992,201,25,Defence,defence,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Martin Pospíšil,188,6.167979002624672,78.471416,173,24,Centre,centre,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Kevin Rooney,188,6.167979002624672,86.18248,190,31,Center,centre,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Yegor Sharangovich,188,6.167979002624672,88.904032,196,26,Forward,forward,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Daniel Vladař,198,6.496062992125984,83.91452,185,27,Goaltender,goaltender,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
MacKenzie Weegar,183,6.003937007874016,95.25431999999999,210,30,Defence,defence,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Dustin Wolf,183,6.003937007874016,79.3786,175,23,Goaltender,goaltender,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Connor Zary,183,6.003937007874016,83.007336,183,22,Centre,centre,Calgary_Flames,https://en.wikipedia.org/wiki/Calgary_Flames
Viktor Arvidsson,178,5.83989501312336,83.91452,185,31,Right wing,rightwinger,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Evan Bouchard,191,6.266404199475065,87.089664,192,24,Defence,defence,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Connor Brown,183,6.003937007874016,83.460928,184,30,Right wing,rightwinger,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Josh Brown,196,6.430446194225722,99.79024,220,30,Defence,defence,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Drake Caggiula,178,5.83989501312336,79.83219199999999,176,30,Left wing,leftwinger,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Connor Carrick,178,5.83989501312336,89.811216,198,30,Defense,defence,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Collin Delia,188,6.167979002624672,94.347136,208,30,Goaltender,goaltender,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Travis Dermott,183,6.003937007874016,97.52228,215,27,Defence,defence,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Cam Dineen,180,5.905511811023622,85.275296,188,26,Defense,defence,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Leon Draisaitl,188,6.167979002624672,94.80072799999999,209,28,Centre / Left Wing,centre/leftwinger,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Mattias Ekholm,196,6.430446194225722,102.0582,225,34,Defence,defence,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Ty Emberson,188,6.167979002624672,87.543256,193,24,Defense,defence,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Ben Gleason,185,6.069553805774278,86.18248,190,26,Defense,defence,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
James Hamblin,178,5.83989501312336,83.91452,185,25,Left Wing,leftwinger,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Adam Henrique,183,6.003937007874016,88.45044,195,34,Centre,centre,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Noel Hoefenmayer,183,6.003937007874016,86.636072,191,25,Defence,defence,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Zach Hyman,185,6.069553805774278,93.439952,206,32,Left wing,leftwinger,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Mattias Janmark,188,6.167979002624672,92.98636,205,31,Left Wing,leftwinger,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Roby Järventie,188,6.167979002624672,83.460928,184,22,Left Wing,leftwinger,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Evander Kane,188,6.167979002624672,98.883056,218,33,Wing,winger,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Philip Kemp,191,6.266404199475065,91.625584,202,25,Defense,defence,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Brett Kulak,188,6.167979002624672,87.089664,192,30,Defence,defence,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Raphaël Lavoie,193,6.332020997375328,97.52228,215,23,Centre,centre,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Connor McDavid,185,6.069553805774278,87.996848,194,27,Centre,centre,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Ryan Nugent-Hopkins,185,6.069553805774278,87.089664,192,31,Centre / left wing,centre/leftwinger,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Darnell Nurse,193,6.332020997375328,97.52228,215,29,Defence,defence,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Lane Pederson,183,6.003937007874016,87.089664,192,27,Centre,centre,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Corey Perry,191,6.266404199475065,94.347136,208,39,Right wing,rightwinger,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Calvin Pickard,185,6.069553805774278,93.439952,206,32,Goaltender,goaltender,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Vasily Podkolzin,185,6.069553805774278,86.18248,190,23,Right wing,rightwinger,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Derek Ryan,178,5.83989501312336,83.91452,185,37,Center / Right Wing,centre/rightwinger,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Matthew Savoie,175,5.741469816272966,81.192968,179,20,Centre,centre,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Jeff Skinner,180,5.905511811023622,90.7184,200,32,Left wing,leftwinger,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Stuart Skinner,193,6.332020997375328,104.32616,230,25,Goaltender,goaltender,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Troy Stecher,178,5.83989501312336,83.460928,184,30,Defence,defence,Edmonton_Oilers,https://en.wikipedia.org/wiki/Template:Edmonton_Oilers_roster
Mikey Anderson,183,6.003937007874016,89.357624,197,25,Defense,defence,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Kyle Burroughs,183,6.003937007874016,87.543256,193,29,Defence,defence,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Quinton Byfield,196,6.430446194225722,99.79024,220,22,Forward,forward,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Pheonix Copley,193,6.332020997375328,88.904032,196,32,Goaltender,goaltender,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Phillip Danault,185,6.069553805774278,90.7184,200,31,Centre,centre,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Drew Doughty,185,6.069553805774278,91.625584,202,34,Defence,defence,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Joel Edmundson,196,6.430446194225722,102.0582,225,31,Defence,defence,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Andreas Englund,191,6.266404199475065,86.18248,190,28,Defence,defence,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Kevin Fiala,183,6.003937007874016,91.625584,202,28,Left wing,leftwinger,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Warren Foegele,188,6.167979002624672,92.532768,204,28,Left wing,leftwinger,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Vladislav Gavrikov,191,6.266404199475065,97.068688,214,28,Defence,defence,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Glenn Gawdin,185,6.069553805774278,87.089664,192,27,Centre,centre,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Tanner Jeannot,188,6.167979002624672,99.79024,220,27,Left wing,leftwinger,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Arthur Kaliyev,188,6.167979002624672,86.18248,190,23,Left wing,leftwinger,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Adrian Kempe,188,6.167979002624672,88.45044,195,28,Right wing,rightwinger,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Anže Kopitar,191,6.266404199475065,101.604608,224,37,Centre,centre,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Darcy Kuemper,196,6.430446194225722,96.161504,212,34,Goaltender,goaltender,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Alex Laferriere,185,6.069553805774278,92.98636,205,22,Right wing,rightwinger,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Trevor Lewis,185,6.069553805774278,90.7184,200,37,Center,centre,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Trevor Moore,178,5.83989501312336,83.91452,185,29,Left wing,leftwinger,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Jacob Moverare,188,6.167979002624672,89.811216,198,26,Defence,defence,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
David Rittich,191,6.266404199475065,90.7184,200,32,Goaltender,goaltender,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Jordan Spence,178,5.83989501312336,81.192968,179,23,Defence,defence,Los_Angeles_Kings,https://en.wikipedia.org/wiki/Template:Los_Angeles_Kings_roster
Yaroslav Askarov,191,6.266404199475065,82.100152,181,22,Goaltender,goaltender,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Justin Bailey,193,6.332020997375328,97.068688,214,29,Right wing,rightwinger,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Matt Benning,185,6.069553805774278,92.079176,203,30,Defence,defence,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Mackenzie Blackwood,193,6.332020997375328,102.0582,225,27,Goaltender,goaltender,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Thomas Bordeleau,178,5.83989501312336,79.3786,175,22,Center,centre,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Cody Ceci,188,6.167979002624672,95.25431999999999,210,30,Defenceman,defence,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Macklin Celebrini,183,6.003937007874016,86.18248,190,18,Centre,centre,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Logan Couture,185,6.069553805774278,93.439952,206,35,Centre,centre,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Ty Dellandrea,185,6.069553805774278,86.18248,190,24,Centre / Right wing,centre/rightwinger,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
William Eklund,180,5.905511811023622,82.100152,181,21,Forward,forward,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Mario Ferraro,183,6.003937007874016,94.80072799999999,209,25,Defence,defence,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Barclay Goodrow,188,6.167979002624672,92.532768,204,31,Forward,forward,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Collin Graf,183,6.003937007874016,81.64656,180,21,Right Wing,rightwinger,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Mikael Granlund,178,5.83989501312336,83.91452,185,32,Centre / Right wing,centre/rightwinger,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Carl Grundström,183,6.003937007874016,91.171992,201,26,Right Wing,rightwinger,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Klim Kostin,191,6.266404199475065,93.893544,207,25,Winger,winger,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Luke Kunin,183,6.003937007874016,89.357624,197,26,Center,centre,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Shakir Mukhamadullin,193,6.332020997375328,80.739376,178,22,Defence,defence,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Jan Rutta,191,6.266404199475065,92.532768,204,34,Defence,defence,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Givani Smith,188,6.167979002624672,97.068688,214,26,Right wing,rightwinger,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Will Smith,183,6.003937007874016,82.100152,181,19,Center,centre,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Nico Sturm,191,6.266404199475065,94.80072799999999,209,29,Centre,centre,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Henry Thrun,188,6.167979002624672,86.18248,190,23,Defense,defence,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Tyler Toffoli,183,6.003937007874016,89.811216,198,32,Right wing,rightwinger,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Vítek Vaněček,188,6.167979002624672,84.821704,187,28,Goaltender,goaltender,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Marc-Édouard Vlasic,185,6.069553805774278,92.98636,205,37,Defence,defence,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Jake Walman,185,6.069553805774278,98.883056,218,28,Defence,defence,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
